key,value,date
Arsenal,-53.61,2000-02-05
Arsenal,-60.15,2000-02-29
Arsenal,-60.15,2000-03-01
Arsenal,-63.59,2000-03-02
Arsenal,-42.45,2000-03-07
Arsenal,-49.37,2000-03-08
Arsenal,-49.37,2000-03-09
Arsenal,-62.94,2000-03-14
Arsenal,-62.94,2000-03-15
Arsenal,-66.59,2000-03-16
Arsenal,-65.19,2000-03-21
Arsenal,-66.27,2000-03-22
Arsenal,-66.26,2000-03-23
Arsenal,-61.05,2000-04-04
Arsenal,-62.47,2000-04-05
Arsenal,-62.47,2000-04-06
Arsenal,-52.01,2000-04-18
Arsenal,-52.01,2000-04-19
Arsenal,-35.17,2000-04-20
Arsenal,-57.03,2000-05-17
Arsenal,-59.95,2000-08-09
Arsenal,-61.41,2000-08-23
Arsenal,-64.83,2000-09-12
Arsenal,-56.34,2000-09-13
Arsenal,-58.57,2000-09-14
Arsenal,-62.33,2000-09-19
Arsenal,-61.21,2000-09-20
Arsenal,-60.12,2000-09-23
Arsenal,-58.06,2000-09-26
Arsenal,-44.17,2000-09-27
Arsenal,-36.3,2000-09-28
Arsenal,-22.48,2000-10-14
Arsenal,-27.12,2000-10-17
Arsenal,-23.26,2000-10-18
Arsenal,-27.2,2000-10-24
Arsenal,-17.08,2000-10-25
Arsenal,-14.05,2000-10-26
Arsenal,-13.89,2000-11-04
Arsenal,-12.86,2000-11-07
Arsenal,-34.23,2000-11-08
Arsenal,-36.63,2000-11-09
Arsenal,-46.05,2000-11-18
Arsenal,-64.59,2000-11-21
Arsenal,-67.65,2000-11-22
Arsenal,-80.97,2000-11-23
Arsenal,-93.86,2000-12-05
Arsenal,-97.31,2000-12-06
Arsenal,-103.05,2000-12-07
Arsenal,-78.24,2000-12-23
Arsenal,-108.03,2001-01-13
Arsenal,-116.06,2001-01-20
Arsenal,-123.42,2001-02-03
Arsenal,-120.55,2001-02-10
Arsenal,-114.43,2001-02-13
Arsenal,-104.54,2001-02-14
Arsenal,-107.04,2001-02-15
Arsenal,-107.04,2001-02-20
Arsenal,-102.16,2001-02-21
Arsenal,-108.08,2001-02-22
Arsenal,-124.52,2001-03-03
Arsenal,-116.75,2001-03-06
Arsenal,-114.21,2001-03-07
Arsenal,-111.1,2001-03-08
Arsenal,-111.1,2001-03-13
Arsenal,-112.66,2001-03-14
Arsenal,-117.64,2001-03-15
Arsenal,-121.26,2001-03-31
Arsenal,-103.75,2001-04-03
Arsenal,-90.98,2001-04-04
Arsenal,-87.83,2001-04-05
Arsenal,-82.69,2001-04-14
Arsenal,-108.89,2001-04-17
Arsenal,-117.2,2001-04-18
Arsenal,-108.37,2001-04-19
Arsenal,-94.7,2001-04-28
Arsenal,-96.17,2001-05-02
Arsenal,-73.05,2001-05-08
Arsenal,-62.49,2001-05-16
Arsenal,-62.49,2001-05-19
Arsenal,-56.08,2001-08-08
Arsenal,-44.6,2001-08-21
Arsenal,-45.32,2001-09-11
Arsenal,-49.18,2001-09-15
Arsenal,-31.71,2001-09-18
Arsenal,-35.0,2001-09-19
Arsenal,-31.49,2001-09-20
Arsenal,-31.5,2001-09-22
Arsenal,-44.15,2001-09-25
Arsenal,-39.92,2001-09-26
Arsenal,-45.89,2001-09-27
Arsenal,-45.89,2001-09-29
Arsenal,-46.29,2001-10-10
Arsenal,-60.22,2001-10-13
Arsenal,-60.23,2001-10-16
Arsenal,-56.77,2001-10-17
Arsenal,-45.57,2001-10-18
Arsenal,-39.6,2001-10-23
Arsenal,-43.22,2001-10-24
Arsenal,-40.03,2001-10-30
Arsenal,-54.03,2001-10-31
Arsenal,-54.03,2001-11-01
Arsenal,-81.79,2001-11-17
Arsenal,-78.76,2001-11-20
Arsenal,-66.82,2001-11-21
Arsenal,-71.33,2001-11-22
Arsenal,-59.45,2001-12-01
Arsenal,-53.51,2001-12-04
Arsenal,-45.8,2001-12-05
Arsenal,-48.54,2001-12-06
Arsenal,-22.56,2001-12-26
Arsenal,-39.59,2002-02-19
Arsenal,-37.04,2002-02-20
Arsenal,-36.05,2002-02-21
Arsenal,-33.73,2002-02-26
Arsenal,-37.96,2002-02-27
Arsenal,-30.96,2002-02-28
Arsenal,-17.4,2002-03-12
Arsenal,-33.73,2002-03-13
Arsenal,-30.42,2002-03-19
Arsenal,-42.15,2002-03-20
Arsenal,-36.99,2002-03-30
Arsenal,-26.83,2002-04-02
Arsenal,-39.53,2002-04-03
Arsenal,-39.54,2002-04-06
Arsenal,-39.13,2002-04-09
Arsenal,-39.12,2002-04-10
Arsenal,-49.22,2002-04-24
Arsenal,-37.41,2002-05-01
Arsenal,-14.59,2002-05-11
Arsenal,-5.38,2002-08-14
Arsenal,-1.96,2002-08-15
Arsenal,-4.57,2002-08-27
Arsenal,-5.96,2002-08-28
Arsenal,-5.96,2002-08-29
Arsenal,-2.16,2002-09-11
Arsenal,0.0,2002-09-14
Arsenal,0.0,2002-09-17
Arsenal,0.0,2002-09-18
Arsenal,0.0,2002-09-19
Arsenal,0.0,2002-09-21
Arsenal,0.0,2002-09-24
Arsenal,0.0,2002-09-25
Arsenal,0.0,2002-09-28
Arsenal,0.0,2002-10-01
Arsenal,0.0,2002-10-02
Arsenal,0.0,2002-10-03
Arsenal,0.0,2002-10-19
Arsenal,0.0,2002-10-22
Arsenal,0.0,2002-10-23
Arsenal,0.0,2002-10-26
Arsenal,0.0,2002-10-29
Arsenal,0.0,2002-10-30
Arsenal,0.0,2002-10-31
Arsenal,0.0,2002-11-12
Arsenal,0.0,2002-11-13
Arsenal,0.0,2002-11-14
Arsenal,0.0,2002-11-23
Arsenal,0.0,2002-11-26
Arsenal,0.0,2002-11-27
Arsenal,0.0,2002-11-28
Arsenal,-1.85,2002-12-10
Arsenal,-4.4,2002-12-11
Arsenal,-10.35,2002-12-12
Arsenal,-1.52,2002-12-26
Arsenal,0.0,2003-01-01
Arsenal,0.0,2003-02-18
Arsenal,0.0,2003-02-19
Arsenal,-2.12,2003-02-20
Arsenal,0.0,2003-02-25
Arsenal,-6.74,2003-02-26
Arsenal,-7.88,2003-02-27
Arsenal,-6.6,2003-03-11
Arsenal,-12.83,2003-03-12
Arsenal,-5.01,2003-03-13
Arsenal,-25.17,2003-03-18
Arsenal,-16.1,2003-03-19
Arsenal,-21.52,2003-03-20
Arsenal,-22.42,2003-04-05
Arsenal,-35.11,2003-04-08
Arsenal,-28.04,2003-04-12
Arsenal,-43.18,2003-04-19
Arsenal,-39.74,2003-04-23
Arsenal,-58.28,2003-05-11
Arsenal,-57.86,2003-08-13
Arsenal,-57.86,2003-08-14
Arsenal,-55.29,2003-08-26
Arsenal,-55.29,2003-08-27
Arsenal,-53.06,2003-08-28
Arsenal,-47.36,2003-09-16
Arsenal,-53.42,2003-09-17
Arsenal,-65.81,2003-09-24
Arsenal,-66.7,2003-09-30
Arsenal,-71.3,2003-10-01
Arsenal,-57.31,2003-10-15
Arsenal,-56.09,2003-10-21
Arsenal,-65.5,2003-10-22
Arsenal,-49.34,2003-11-04
Arsenal,-53.52,2003-11-05
Arsenal,-50.74,2003-11-06
Arsenal,-48.55,2003-11-25
Arsenal,-29.83,2003-11-26
Arsenal,-35.27,2003-11-27
Arsenal,-33.58,2003-12-06
Arsenal,-41.72,2003-12-09
Arsenal,-45.96,2003-12-10
Arsenal,-50.58,2003-12-26
Arsenal,-49.12,2004-01-07
Arsenal,0.0,2004-02-24
Arsenal,0.0,2004-02-25
Arsenal,0.0,2004-02-26
Arsenal,0.0,2004-03-03
Arsenal,0.0,2004-03-09
Arsenal,0.0,2004-03-10
Arsenal,0.0,2004-03-11
Arsenal,0.0,2004-03-20
Arsenal,0.0,2004-03-25
Arsenal,0.0,2004-04-08
Arsenal,0.0,2004-04-14
Arsenal,0.0,2004-04-20
Arsenal,0.0,2004-04-22
Arsenal,0.0,2004-05-05
Arsenal,0.0,2004-05-06
Arsenal,0.0,2004-05-08
Arsenal,0.0,2004-05-15
Arsenal,0.0,2004-08-10
Arsenal,0.0,2004-08-11
Arsenal,0.0,2004-08-24
Arsenal,0.0,2004-08-25
Arsenal,0.0,2004-09-14
Arsenal,0.0,2004-09-15
Arsenal,0.0,2004-09-16
Arsenal,0.0,2004-09-25
Arsenal,0.0,2004-09-28
Arsenal,0.0,2004-09-29
Arsenal,0.0,2004-09-30
Arsenal,0.0,2004-10-19
Arsenal,0.0,2004-10-20
Arsenal,0.0,2004-10-21
Arsenal,0.0,2004-10-30
Arsenal,0.0,2004-11-02
Arsenal,0.0,2004-11-03
Arsenal,0.0,2004-11-04
Arsenal,0.0,2004-11-20
Arsenal,0.0,2004-11-23
Arsenal,0.0,2004-11-24
Arsenal,0.0,2004-11-25
Arsenal,-9.39,2004-12-04
Arsenal,-12.78,2004-12-07
Arsenal,-2.7,2004-12-08
Arsenal,-6.44,2004-12-15
Arsenal,-6.43,2004-12-16
Arsenal,-5.37,2004-12-26
Arsenal,-5.29,2005-01-01
Arsenal,-16.77,2005-01-15
Arsenal,-45.27,2005-02-06
Arsenal,-39.43,2005-02-17
Arsenal,-39.43,2005-02-22
