key,value,date
Arsenal,-172.77,1980-01-12
Arsenal,-163.0,1980-02-09
Arsenal,-167.29,1980-02-23
Arsenal,-146.68,1980-03-01
Arsenal,-143.5,1980-03-05
Arsenal,-140.75,1980-03-11
Arsenal,-149.64,1980-03-15
Arsenal,-140.83,1980-03-19
Arsenal,-143.86,1980-03-22
Arsenal,-136.87,1980-04-05
Arsenal,-125.48,1980-04-09
Arsenal,-134.0,1980-04-19
Arsenal,-122.53,1980-04-23
Arsenal,-111.3,1980-04-26
Arsenal,-110.58,1980-05-03
Arsenal,-98.34,1980-05-14
Arsenal,-109.09,1980-05-28
Arsenal,-109.09,1980-08-16
Arsenal,-103.68,1980-08-23
Arsenal,-96.26,1980-08-30
Arsenal,-94.06,1980-09-06
Arsenal,-90.81,1980-09-13
Arsenal,-92.74,1980-09-17
Arsenal,-92.58,1980-09-20
Arsenal,-98.77,1980-09-27
Arsenal,-95.13,1980-10-01
Arsenal,-95.35,1980-10-04
Arsenal,-118.17,1980-10-11
Arsenal,-110.71,1980-10-18
Arsenal,-110.93,1980-10-22
Arsenal,-115.47,1980-10-25
Arsenal,-96.78,1980-11-05
Arsenal,-100.01,1980-11-08
Arsenal,-90.34,1980-11-15
Arsenal,-89.94,1980-11-22
Arsenal,-70.69,1980-11-26
Arsenal,-70.69,1980-11-29
Arsenal,-74.86,1980-12-06
Arsenal,-82.71,1980-12-10
Arsenal,-82.72,1980-12-13
Arsenal,-98.43,1980-12-20
Arsenal,-95.27,1980-12-26
Arsenal,-97.46,1980-12-27
Arsenal,-91.52,1981-01-10
Arsenal,-72.0,1981-01-17
Arsenal,-86.71,1981-01-31
Arsenal,-76.09,1981-02-07
Arsenal,-58.0,1981-02-21
Arsenal,-56.78,1981-02-28
Arsenal,-66.6,1981-03-04
Arsenal,-86.27,1981-03-18
Arsenal,-88.32,1981-03-21
Arsenal,-91.72,1981-03-28
Arsenal,-69.44,1981-04-08
Arsenal,-58.49,1981-04-18
Arsenal,-37.67,1981-04-22
Arsenal,-52.15,1981-04-25
Arsenal,-43.91,1981-05-02
Arsenal,-26.92,1981-05-06
Arsenal,-29.71,1981-05-20
Arsenal,-29.71,1981-05-27
Arsenal,-37.42,1981-08-29
Arsenal,-19.82,1981-09-05
Arsenal,-35.09,1981-09-12
Arsenal,-33.44,1981-09-16
Arsenal,-31.8,1981-09-19
Arsenal,-31.92,1981-09-26
Arsenal,-35.21,1981-09-29
Arsenal,-35.22,1981-09-30
Arsenal,-35.25,1981-10-03
Arsenal,-39.72,1981-10-10
Arsenal,-54.43,1981-10-21
Arsenal,-64.8,1981-10-24
Arsenal,-56.92,1981-10-31
Arsenal,-60.76,1981-11-04
Arsenal,-72.92,1981-11-07
Arsenal,-59.72,1981-11-21
Arsenal,-47.93,1981-11-28
Arsenal,-32.01,1981-12-05
Arsenal,-42.54,1982-01-30
Arsenal,-50.69,1982-02-06
Arsenal,-42.67,1982-02-20
Arsenal,-43.35,1982-02-27
Arsenal,-71.48,1982-03-03
Arsenal,-65.61,1982-03-17
Arsenal,-47.2,1982-03-20
Arsenal,-59.12,1982-03-27
Arsenal,-67.59,1982-04-07
Arsenal,-76.71,1982-04-10
Arsenal,-117.04,1982-04-17
Arsenal,-111.94,1982-04-21
Arsenal,-111.94,1982-04-24
Arsenal,-126.34,1982-05-01
Arsenal,-115.1,1982-05-08
Arsenal,-108.46,1982-05-15
Arsenal,-100.5,1982-05-26
Arsenal,-100.5,1982-08-17
Arsenal,-100.49,1982-08-25
Arsenal,-100.5,1982-08-28
Arsenal,-114.91,1982-09-04
Arsenal,-147.52,1982-09-11
Arsenal,-127.71,1982-09-14
Arsenal,-127.82,1982-09-15
Arsenal,-128.09,1982-09-18
Arsenal,-132.23,1982-09-25
Arsenal,-132.01,1982-09-26
Arsenal,-132.01,1982-09-28
Arsenal,-132.01,1982-09-29
Arsenal,-161.04,1982-10-02
Arsenal,-163.03,1982-10-09
Arsenal,-137.74,1982-10-16
Arsenal,-126.91,1982-10-20
Arsenal,-125.74,1982-10-23
Arsenal,-134.7,1982-10-30
Arsenal,-143.07,1982-11-03
Arsenal,-144.28,1982-11-06
Arsenal,-158.52,1982-11-13
Arsenal,-165.72,1982-11-20
Arsenal,-160.69,1982-11-27
Arsenal,-182.87,1982-12-04
Arsenal,-168.75,1982-12-11
Arsenal,-171.51,1982-12-18
Arsenal,-197.69,1982-12-27
Arsenal,-192.56,1982-12-28
Arsenal,-184.93,1983-01-01
Arsenal,-183.77,1983-01-03
Arsenal,-189.95,1983-01-15
Arsenal,-188.25,1983-01-22
Arsenal,-197.15,1983-02-05
Arsenal,-201.1,1983-02-26
Arsenal,-198.75,1983-03-02
Arsenal,-191.17,1983-03-05
Arsenal,-207.01,1983-03-16
Arsenal,-189.23,1983-03-19
Arsenal,-161.87,1983-04-02
Arsenal,-167.28,1983-04-04
Arsenal,-188.62,1983-04-09
Arsenal,-182.96,1983-04-23
Arsenal,-154.7,1983-04-30
Arsenal,-127.45,1983-05-07
Arsenal,-119.12,1983-05-14
