key,value,date
Arsenal,-89.04,2010-02-10
Arsenal,-71.98,2010-02-16
Arsenal,-76.86,2010-02-17
Arsenal,-81.45,2010-02-18
Arsenal,-77.64,2010-02-24
Arsenal,-72.59,2010-02-25
Arsenal,-60.08,2010-03-09
Arsenal,-37.28,2010-03-10
Arsenal,-44.23,2010-03-11
Arsenal,-44.74,2010-03-16
Arsenal,-44.73,2010-03-18
Arsenal,-56.3,2010-03-30
Arsenal,-51.46,2010-03-31
Arsenal,-54.01,2010-04-01
Arsenal,-41.46,2010-04-06
Arsenal,-50.56,2010-04-07
Arsenal,-45.44,2010-04-08
Arsenal,-68.72,2010-04-22
Arsenal,-77.74,2010-04-29
Arsenal,-92.08,2010-05-09
Arsenal,-88.26,2010-05-12
Arsenal,-88.27,2010-07-29
Arsenal,-88.26,2010-08-05
Arsenal,-89.18,2010-08-17
Arsenal,-89.18,2010-08-19
Arsenal,-84.04,2010-08-25
Arsenal,-84.04,2010-08-26
Arsenal,-80.71,2010-09-14
Arsenal,-80.71,2010-09-15
Arsenal,-75.38,2010-09-16
Arsenal,-85.92,2010-09-28
Arsenal,-86.75,2010-09-29
Arsenal,-86.75,2010-09-30
Arsenal,-91.7,2010-10-19
Arsenal,-87.14,2010-10-20
Arsenal,-87.15,2010-10-21
Arsenal,-75.78,2010-11-02
Arsenal,-75.77,2010-11-03
Arsenal,-86.38,2010-11-04
Arsenal,-86.01,2010-11-10
Arsenal,-60.98,2010-11-20
Arsenal,-74.7,2010-11-23
Arsenal,-90.2,2010-11-24
Arsenal,-88.71,2010-12-01
Arsenal,-88.71,2010-12-02
Arsenal,-85.87,2010-12-07
Arsenal,-79.59,2010-12-08
Arsenal,-87.4,2010-12-15
Arsenal,-87.41,2010-12-16
Arsenal,-71.31,2011-01-22
Arsenal,-63.35,2011-02-15
Arsenal,-63.34,2011-02-16
Arsenal,-59.09,2011-02-17
Arsenal,-59.09,2011-02-22
Arsenal,-59.09,2011-02-23
Arsenal,-56.63,2011-02-24
Arsenal,-45.01,2011-03-08
Arsenal,-53.78,2011-03-09
Arsenal,-53.78,2011-03-10
Arsenal,-53.78,2011-03-15
Arsenal,-59.77,2011-03-16
Arsenal,-59.77,2011-03-17
Arsenal,-77.81,2011-04-05
Arsenal,-88.45,2011-04-13
Arsenal,-87.27,2011-04-23
Arsenal,-100.53,2011-04-26
Arsenal,-90.09,2011-05-04
Arsenal,-121.81,2011-05-22
Arsenal,-123.79,2011-05-28
Arsenal,-115.93,2011-06-30
Arsenal,-115.94,2011-07-07
Arsenal,-115.94,2011-07-14
Arsenal,-115.94,2011-07-21
Arsenal,-115.94,2011-07-28
Arsenal,-115.93,2011-08-04
Arsenal,-120.87,2011-08-16
Arsenal,-119.23,2011-08-18
Arsenal,-140.33,2011-08-24
Arsenal,-134.78,2011-08-25
Arsenal,-152.13,2011-09-10
Arsenal,-155.76,2011-09-13
Arsenal,-152.82,2011-09-14
Arsenal,-151.01,2011-09-15
Arsenal,-168.48,2011-09-24
Arsenal,-158.12,2011-09-27
Arsenal,-149.62,2011-09-28
Arsenal,-147.12,2011-09-29
Arsenal,-149.04,2011-10-18
Arsenal,-150.52,2011-10-19
Arsenal,-141.67,2011-10-20
Arsenal,-97.7,2011-11-01
Arsenal,-102.81,2011-11-02
Arsenal,-103.37,2011-11-03
Arsenal,-103.37,2011-11-05
Arsenal,-99.46,2011-11-22
Arsenal,-93.75,2011-11-23
Arsenal,-87.55,2011-11-30
Arsenal,-87.55,2011-12-01
Arsenal,-84.43,2011-12-06
Arsenal,-99.08,2011-12-07
Arsenal,-85.37,2011-12-14
Arsenal,-85.36,2011-12-15
Arsenal,-103.67,2012-02-15
Arsenal,-123.35,2012-02-16
Arsenal,-128.17,2012-02-21
Arsenal,-128.17,2012-02-22
Arsenal,-128.17,2012-02-23
Arsenal,-127.16,2012-02-26
