key,value,date
Arsenal,-49.1,1990-01-01
Arsenal,-46.27,1990-01-20
Arsenal,-62.4,1990-03-03
Arsenal,-86.1,1990-03-21
Arsenal,-86.29,1990-04-14
Arsenal,-82.39,1990-04-21
Arsenal,-101.8,1990-04-28
Arsenal,-99.65,1990-05-05
Arsenal,-109.56,1990-08-25
Arsenal,-98.49,1990-09-01
Arsenal,-104.47,1990-09-08
Arsenal,-107.88,1990-09-19
Arsenal,-107.88,1990-09-22
Arsenal,-101.0,1990-09-29
Arsenal,-106.63,1990-10-03
Arsenal,-104.25,1990-10-20
Arsenal,-91.87,1990-10-24
Arsenal,-91.87,1990-10-27
Arsenal,-95.13,1990-11-07
Arsenal,-95.13,1990-11-10
Arsenal,-56.92,1990-12-15
Arsenal,-66.29,1990-12-26
Arsenal,-45.08,1991-01-01
Arsenal,0.0,1991-03-06
Arsenal,-5.28,1991-03-19
Arsenal,-5.28,1991-03-20
Arsenal,-11.67,1991-03-23
Arsenal,-22.48,1991-03-30
Arsenal,0.0,1991-04-10
Arsenal,0.0,1991-04-24
Arsenal,0.0,1991-05-04
Arsenal,0.0,1991-05-11
Arsenal,0.0,1991-05-15
Arsenal,0.0,1991-08-17
Arsenal,0.0,1991-08-21
Arsenal,0.0,1991-08-24
Arsenal,0.0,1991-08-31
Arsenal,0.0,1991-09-04
Arsenal,0.0,1991-09-07
Arsenal,-10.53,1991-09-14
Arsenal,0.0,1991-09-17
Arsenal,0.0,1991-09-18
Arsenal,0.0,1991-09-21
Arsenal,0.0,1991-09-28
Arsenal,0.0,1991-10-01
Arsenal,0.0,1991-10-02
Arsenal,0.0,1991-10-06
Arsenal,0.0,1991-10-19
Arsenal,0.0,1991-10-23
Arsenal,0.0,1991-10-26
Arsenal,0.0,1991-11-02
Arsenal,0.0,1991-11-06
Arsenal,0.0,1991-11-07
Arsenal,0.0,1991-11-23
Arsenal,0.0,1991-11-27
Arsenal,0.0,1991-12-11
Arsenal,-5.7,1991-12-15
Arsenal,-2.55,1991-12-26
Arsenal,-19.33,1992-01-01
Arsenal,-26.61,1992-01-11
Arsenal,-33.72,1992-01-18
Arsenal,-54.08,1992-02-01
Arsenal,-41.99,1992-02-08
Arsenal,-30.14,1992-02-22
Arsenal,-5.55,1992-03-04
Arsenal,0.0,1992-03-07
Arsenal,0.0,1992-03-18
Arsenal,0.0,1992-03-28
Arsenal,0.0,1992-04-11
Arsenal,0.0,1992-04-18
Arsenal,0.0,1992-04-20
Arsenal,0.0,1992-05-02
Arsenal,0.0,1992-08-29
Arsenal,0.0,1992-09-12
Arsenal,0.0,1992-09-16
Arsenal,0.0,1992-09-28
Arsenal,0.0,1992-09-29
Arsenal,0.0,1992-09-30
Arsenal,0.0,1992-10-01
Arsenal,0.0,1992-10-03
Arsenal,0.0,1992-10-09
Arsenal,0.0,1992-10-20
Arsenal,0.0,1992-10-21
Arsenal,0.0,1992-10-22
Arsenal,0.0,1992-10-24
Arsenal,0.0,1992-11-04
Arsenal,0.0,1992-11-07
Arsenal,0.0,1992-11-28
Arsenal,0.0,1992-12-19
Arsenal,0.0,1992-12-26
Arsenal,0.0,1992-12-28
Arsenal,-15.03,1993-01-09
Arsenal,-26.86,1993-01-16
Arsenal,-50.57,1993-02-20
Arsenal,-55.3,1993-02-28
Arsenal,-44.68,1993-03-20
Arsenal,-40.33,1993-03-24
Arsenal,-33.81,1993-03-28
Arsenal,-53.51,1993-04-12
Arsenal,-75.58,1993-04-21
Arsenal,-130.33,1993-09-01
Arsenal,-130.9,1993-09-11
Arsenal,-112.22,1993-09-12
Arsenal,-112.22,1993-09-15
Arsenal,-114.45,1993-09-28
Arsenal,-114.45,1993-09-29
Arsenal,-119.61,1993-10-16
Arsenal,-126.29,1993-10-19
Arsenal,-126.3,1993-10-20
Arsenal,-108.83,1993-10-23
Arsenal,-115.63,1993-10-30
Arsenal,-121.19,1993-11-03
Arsenal,-113.62,1993-11-24
Arsenal,-106.94,1993-11-27
Arsenal,-123.64,1993-12-08
Arsenal,-123.64,1993-12-11
Arsenal,-111.06,1994-01-01
Arsenal,-93.58,1994-01-15
Arsenal,-100.18,1994-01-22
Arsenal,-104.05,1994-03-02
Arsenal,-99.78,1994-03-05
Arsenal,-71.4,1994-03-15
Arsenal,-70.14,1994-03-19
Arsenal,-49.82,1994-03-29
Arsenal,-46.65,1994-04-02
Arsenal,-43.6,1994-04-04
Arsenal,-47.65,1994-04-12
Arsenal,-41.67,1994-04-16
Arsenal,-33.83,1994-04-23
Arsenal,-30.14,1994-04-27
Arsenal,-65.6,1994-05-04
Arsenal,-62.05,1994-08-20
Arsenal,-81.83,1994-09-13
Arsenal,-81.83,1994-09-14
Arsenal,-83.31,1994-09-15
Arsenal,-74.19,1994-09-27
Arsenal,-74.19,1994-09-28
Arsenal,-71.4,1994-09-29
Arsenal,-87.61,1994-10-08
Arsenal,-65.87,1994-10-15
Arsenal,-62.2,1994-10-18
Arsenal,-62.2,1994-10-19
Arsenal,-57.6,1994-10-20
Arsenal,-52.01,1994-10-22
Arsenal,-60.22,1994-10-29
Arsenal,-71.96,1994-11-01
Arsenal,-71.97,1994-11-02
Arsenal,-63.99,1994-11-03
Arsenal,-93.37,1994-11-23
Arsenal,-92.71,1994-11-26
Arsenal,-92.41,1994-12-03
Arsenal,-95.07,1994-12-07
Arsenal,-93.95,1994-12-17
Arsenal,-95.81,1994-12-26
Arsenal,-91.73,1994-12-31
Arsenal,-130.86,1995-02-11
Arsenal,-146.73,1995-02-25
Arsenal,-121.21,1995-03-02
Arsenal,-153.72,1995-03-15
Arsenal,-147.76,1995-03-16
Arsenal,-122.52,1995-03-22
Arsenal,-120.89,1995-04-06
Arsenal,-138.59,1995-04-17
Arsenal,-113.35,1995-04-20
Arsenal,-124.73,1995-05-10
Arsenal,-135.73,1995-05-14
Arsenal,-140.3,1995-08-10
Arsenal,-140.3,1995-08-19
Arsenal,-119.75,1995-08-24
Arsenal,-119.75,1995-08-26
Arsenal,-132.03,1995-09-12
Arsenal,-131.32,1995-09-13
Arsenal,-131.32,1995-09-14
Arsenal,-131.32,1995-09-16
Arsenal,-120.2,1995-09-26
Arsenal,-102.89,1995-09-27
Arsenal,-102.89,1995-09-28
Arsenal,-106.47,1995-10-14
Arsenal,-88.03,1995-10-17
Arsenal,-88.03,1995-10-18
Arsenal,-88.03,1995-10-19
Arsenal,-88.04,1995-10-21
Arsenal,-106.85,1995-10-31
Arsenal,-106.85,1995-11-01
Arsenal,-106.85,1995-11-02
Arsenal,-106.86,1995-11-04
Arsenal,-88.6,1995-11-18
Arsenal,-100.29,1995-11-21
Arsenal,-94.23,1995-11-22
Arsenal,-104.39,1995-12-02
Arsenal,-97.39,1995-12-05
Arsenal,-97.39,1995-12-06
Arsenal,-97.39,1995-12-09
Arsenal,-83.08,1995-12-23
Arsenal,-91.85,1996-01-13
Arsenal,-96.2,1996-02-03
Arsenal,-115.57,1996-03-05
Arsenal,-110.28,1996-03-16
Arsenal,-93.25,1996-03-19
Arsenal,-94.38,1996-04-06
Arsenal,-94.07,1996-04-08
Arsenal,-99.91,1996-05-04
Arsenal,-95.11,1996-09-07
Arsenal,-103.26,1996-09-10
Arsenal,-113.82,1996-09-11
Arsenal,-111.14,1996-09-12
Arsenal,-109.2,1996-09-21
Arsenal,-97.7,1996-09-24
Arsenal,-97.7,1996-09-25
Arsenal,-104.77,1996-09-26
Arsenal,-104.81,1996-10-12
Arsenal,-98.25,1996-10-15
Arsenal,-98.26,1996-10-16
Arsenal,-107.69,1996-10-17
Arsenal,-69.03,1996-10-27
Arsenal,-69.03,1996-10-29
Arsenal,-69.02,1996-10-30
Arsenal,-54.07,1996-10-31
Arsenal,-56.15,1996-11-02
Arsenal,-41.17,1996-11-16
Arsenal,-51.61,1996-11-19
Arsenal,-51.61,1996-11-23
Arsenal,-39.73,1996-11-28
Arsenal,-34.63,1996-12-03
Arsenal,-34.63,1996-12-04
Arsenal,-50.0,1996-12-26
Arsenal,-92.96,1997-02-22
Arsenal,-102.43,1997-03-01
Arsenal,-94.44,1997-03-04
Arsenal,-94.44,1997-03-05
Arsenal,-117.15,1997-03-06
Arsenal,-93.49,1997-03-18
Arsenal,-93.5,1997-03-19
Arsenal,-97.07,1997-03-20
Arsenal,-112.92,1997-04-05
Arsenal,-83.11,1997-04-09
Arsenal,-80.46,1997-04-10
Arsenal,-82.54,1997-04-19
Arsenal,-100.06,1997-04-23
Arsenal,-89.23,1997-04-24
Arsenal,-89.24,1997-05-03
Arsenal,-80.76,1997-08-13
Arsenal,-69.93,1997-08-27
Arsenal,-86.47,1997-09-13
Arsenal,-83.05,1997-09-16
Arsenal,-88.22,1997-09-17
Arsenal,-92.96,1997-09-18
Arsenal,-67.87,1997-09-27
Arsenal,-58.84,1997-09-30
Arsenal,-73.87,1997-10-01
Arsenal,-81.49,1997-10-02
Arsenal,-79.84,1997-10-21
Arsenal,-79.84,1997-10-22
Arsenal,-82.43,1997-10-23
Arsenal,-89.25,1997-11-01
Arsenal,-109.15,1997-11-04
Arsenal,-109.15,1997-11-05
Arsenal,-118.8,1997-11-06
Arsenal,-122.76,1997-11-25
Arsenal,-122.76,1997-11-26
Arsenal,-122.76,1997-11-27
Arsenal,-139.88,1997-12-06
