key,value,date
Arsenal,-72.25,1970-01-10
Arsenal,-87.55,1970-01-17
Arsenal,-97.92,1970-01-31
Arsenal,-93.4,1970-02-28
Arsenal,-101.58,1970-03-04
Arsenal,-87.85,1970-03-17
Arsenal,-90.7,1970-03-18
Arsenal,-90.7,1970-03-21
Arsenal,-85.68,1970-03-28
Arsenal,-75.03,1970-04-01
Arsenal,-81.2,1970-04-15
Arsenal,-74.04,1970-04-19
Arsenal,-74.04,1970-04-29
Arsenal,-80.22,1970-08-15
Arsenal,-77.39,1970-08-22
Arsenal,-61.29,1970-08-29
Arsenal,-67.13,1970-09-05
Arsenal,-55.38,1970-09-12
Arsenal,-41.36,1970-09-16
Arsenal,-41.23,1970-09-19
Arsenal,-41.53,1970-09-23
Arsenal,-41.53,1970-09-26
Arsenal,-60.53,1970-09-30
Arsenal,-60.91,1970-10-03
Arsenal,-48.13,1970-10-10
Arsenal,-41.52,1970-10-17
Arsenal,-35.7,1970-10-21
Arsenal,-40.69,1970-10-24
Arsenal,-31.82,1970-10-31
Arsenal,-19.92,1970-11-04
Arsenal,-19.62,1970-11-07
Arsenal,-20.14,1970-11-14
Arsenal,-10.02,1970-11-21
Arsenal,-6.37,1970-11-28
Arsenal,0.0,1970-12-05
Arsenal,0.0,1970-12-12
Arsenal,0.0,1970-12-19
Arsenal,0.0,1971-01-09
Arsenal,0.0,1971-01-16
Arsenal,0.0,1971-01-30
Arsenal,0.0,1971-02-06
Arsenal,0.0,1971-02-20
Arsenal,0.0,1971-03-09
Arsenal,0.0,1971-03-10
Arsenal,0.0,1971-03-13
Arsenal,0.0,1971-03-20
Arsenal,0.0,1971-03-24
Arsenal,0.0,1971-03-31
Arsenal,0.0,1971-04-10
Arsenal,0.0,1971-04-17
Arsenal,0.0,1971-04-24
Arsenal,0.0,1971-05-01
Arsenal,0.0,1971-05-19
Arsenal,0.0,1971-05-21
Arsenal,0.0,1971-08-14
Arsenal,0.0,1971-08-28
Arsenal,0.0,1971-09-04
Arsenal,0.0,1971-09-11
Arsenal,0.0,1971-09-14
Arsenal,0.0,1971-09-15
Arsenal,0.0,1971-09-18
Arsenal,0.0,1971-09-25
Arsenal,0.0,1971-09-28
Arsenal,0.0,1971-09-29
Arsenal,0.0,1971-10-02
Arsenal,0.0,1971-10-09
Arsenal,0.0,1971-10-16
Arsenal,0.0,1971-10-20
Arsenal,0.0,1971-10-23
Arsenal,0.0,1971-10-30
Arsenal,0.0,1971-11-02
Arsenal,0.0,1971-11-03
Arsenal,0.0,1971-11-06
Arsenal,0.0,1971-11-13
Arsenal,0.0,1971-11-20
Arsenal,0.0,1971-11-23
Arsenal,0.0,1971-11-27
Arsenal,0.0,1971-12-04
Arsenal,0.0,1971-12-08
Arsenal,0.0,1971-12-11
Arsenal,0.0,1971-12-15
Arsenal,0.0,1971-12-18
Arsenal,0.0,1971-12-27
Arsenal,0.0,1972-01-01
Arsenal,0.0,1972-01-08
Arsenal,0.0,1972-01-22
Arsenal,0.0,1972-01-29
Arsenal,0.0,1972-02-19
Arsenal,0.0,1972-03-04
Arsenal,0.0,1972-03-07
Arsenal,0.0,1972-03-08
Arsenal,0.0,1972-03-11
Arsenal,0.0,1972-03-21
Arsenal,0.0,1972-03-22
Arsenal,0.0,1972-03-25
Arsenal,-11.0,1972-04-01
Arsenal,-27.7,1972-04-05
Arsenal,-27.69,1972-04-08
Arsenal,-37.92,1972-04-19
Arsenal,-37.92,1972-04-22
Arsenal,-43.14,1972-08-12
Arsenal,-38.07,1972-08-19
Arsenal,-42.87,1972-08-26
Arsenal,-32.31,1972-09-02
Arsenal,-29.72,1972-09-09
Arsenal,-42.95,1972-09-12
Arsenal,-45.53,1972-09-13
Arsenal,-45.54,1972-09-14
Arsenal,-45.53,1972-09-16
Arsenal,-49.6,1972-09-23
Arsenal,-65.72,1972-09-26
Arsenal,-65.08,1972-09-27
Arsenal,-65.08,1972-09-30
Arsenal,-73.37,1972-10-07
Arsenal,-83.35,1972-10-14
Arsenal,-76.94,1972-10-21
Arsenal,-72.89,1972-10-24
Arsenal,-73.85,1972-10-25
Arsenal,-73.85,1972-10-28
Arsenal,-75.49,1972-11-04
Arsenal,-101.42,1972-11-07
Arsenal,-101.73,1972-11-08
Arsenal,-101.73,1972-11-11
Arsenal,-72.51,1972-11-18
Arsenal,-72.27,1972-11-25
Arsenal,-94.32,1972-11-29
Arsenal,-94.59,1972-12-02
Arsenal,-88.74,1972-12-09
Arsenal,-73.73,1972-12-13
Arsenal,-76.02,1972-12-16
Arsenal,-71.83,1972-12-23
Arsenal,-77.02,1972-12-26
Arsenal,-85.35,1973-01-06
Arsenal,-87.2,1973-01-20
Arsenal,-72.59,1973-01-27
Arsenal,-68.24,1973-02-10
Arsenal,-31.72,1973-02-17
Arsenal,-49.2,1973-03-07
Arsenal,-51.48,1973-03-10
Arsenal,-49.22,1973-03-21
Arsenal,-51.42,1973-03-24
Arsenal,-43.18,1973-03-31
Arsenal,-40.71,1973-04-11
Arsenal,-40.7,1973-04-14
Arsenal,-52.08,1973-04-21
Arsenal,-52.63,1973-04-25
Arsenal,-56.84,1973-04-28
Arsenal,-53.22,1973-05-10
Arsenal,-62.47,1973-05-16
Arsenal,-62.47,1973-05-23
Arsenal,-60.62,1973-08-25
Arsenal,-58.12,1973-09-01
Arsenal,-78.87,1973-09-08
Arsenal,-85.63,1973-09-15
Arsenal,-70.84,1973-09-19
Arsenal,-70.63,1973-09-20
Arsenal,-70.63,1973-09-22
Arsenal,-70.52,1973-09-29
Arsenal,-77.08,1973-10-02
Arsenal,-77.08,1973-10-03
Arsenal,-77.3,1973-10-06
Arsenal,-77.73,1973-10-13
Arsenal,-76.47,1973-10-20
Arsenal,-75.41,1973-10-24
Arsenal,-73.49,1973-10-27
Arsenal,-87.23,1973-11-03
Arsenal,-111.84,1973-11-06
Arsenal,-87.03,1973-11-07
Arsenal,-87.04,1973-11-10
Arsenal,-79.8,1973-11-17
Arsenal,-90.03,1973-11-24
Arsenal,-76.75,1973-11-28
Arsenal,-89.6,1973-12-08
Arsenal,-93.83,1973-12-12
Arsenal,-93.83,1973-12-15
Arsenal,-96.13,1973-12-22
Arsenal,-94.89,1973-12-26
Arsenal,-84.12,1973-12-29
Arsenal,-100.05,1974-01-01
Arsenal,-105.58,1974-01-12
Arsenal,-104.51,1974-01-19
Arsenal,-103.27,1974-02-02
Arsenal,-126.44,1974-02-23
Arsenal,-138.36,1974-03-02
Arsenal,-136.34,1974-03-06
Arsenal,-136.33,1974-03-16
Arsenal,-138.28,1974-03-20
Arsenal,-138.28,1974-03-23
Arsenal,-135.34,1974-04-06
Arsenal,-130.66,1974-04-10
Arsenal,-128.45,1974-04-13
Arsenal,-128.14,1974-04-20
Arsenal,-112.6,1974-04-24
Arsenal,-85.14,1974-04-27
Arsenal,-88.67,1974-05-21
Arsenal,-88.67,1974-05-29
Arsenal,-88.67,1974-08-17
Arsenal,-92.09,1974-08-24
Arsenal,-100.27,1974-08-31
Arsenal,-117.0,1974-09-07
Arsenal,-134.36,1974-09-14
Arsenal,-120.42,1974-09-18
Arsenal,-120.49,1974-09-21
Arsenal,-120.22,1974-09-28
Arsenal,-120.97,1974-10-02
Arsenal,-120.99,1974-10-05
Arsenal,-130.75,1974-10-12
Arsenal,-143.8,1974-10-19
Arsenal,-158.14,1974-10-23
Arsenal,-149.47,1974-10-26
Arsenal,-144.14,1974-11-02
Arsenal,-138.95,1974-11-06
Arsenal,-132.1,1974-11-09
Arsenal,-91.65,1974-11-16
Arsenal,-83.36,1974-11-23
Arsenal,-91.29,1974-11-27
Arsenal,-91.29,1974-11-30
Arsenal,-83.72,1974-12-07
Arsenal,-88.93,1974-12-11
Arsenal,-88.93,1974-12-14
Arsenal,-95.03,1974-12-21
Arsenal,-65.76,1974-12-26
Arsenal,-82.98,1975-01-11
Arsenal,-70.88,1975-01-18
Arsenal,-71.23,1975-02-01
Arsenal,-50.95,1975-02-08
Arsenal,-53.6,1975-02-22
Arsenal,-54.5,1975-03-01
Arsenal,-62.49,1975-03-05
Arsenal,-62.5,1975-03-08
Arsenal,-65.19,1975-03-15
Arsenal,-55.62,1975-03-19
Arsenal,-55.88,1975-03-22
Arsenal,-82.75,1975-03-29
Arsenal,-87.98,1975-03-31
Arsenal,-83.58,1975-04-09
Arsenal,-83.58,1975-04-12
Arsenal,-95.48,1975-04-19
Arsenal,-84.51,1975-04-23
Arsenal,-93.31,1975-04-26
Arsenal,-99.8,1975-05-28
Arsenal,-99.8,1975-08-16
Arsenal,-63.36,1975-08-23
Arsenal,-93.11,1975-08-30
Arsenal,-90.32,1975-09-06
Arsenal,-97.77,1975-09-13
Arsenal,-98.33,1975-09-17
Arsenal,-95.5,1975-09-20
Arsenal,-101.82,1975-09-27
Arsenal,-101.02,1975-09-30
Arsenal,-107.69,1975-10-01
Arsenal,-107.69,1975-10-04
Arsenal,-121.95,1975-10-11
Arsenal,-113.84,1975-10-18
Arsenal,-119.75,1975-10-22
Arsenal,-124.07,1975-10-25
Arsenal,-113.52,1975-11-01
Arsenal,-130.97,1975-11-04
Arsenal,-133.01,1975-11-05
Arsenal,-133.01,1975-11-08
Arsenal,-146.5,1975-11-15
Arsenal,-162.92,1975-11-22
Arsenal,-146.58,1975-11-26
Arsenal,-148.1,1975-11-29
Arsenal,-118.79,1975-12-06
Arsenal,-125.02,1975-12-10
Arsenal,-125.71,1975-12-13
Arsenal,-144.62,1975-12-20
Arsenal,-145.87,1975-12-26
Arsenal,-152.88,1975-12-27
Arsenal,-146.0,1976-01-10
Arsenal,-145.11,1976-01-17
Arsenal,-147.24,1976-01-31
Arsenal,-158.91,1976-02-07
Arsenal,-179.27,1976-02-21
Arsenal,-158.27,1976-02-28
Arsenal,-147.55,1976-03-03
Arsenal,-151.1,1976-03-06
Arsenal,-131.81,1976-03-13
Arsenal,-137.88,1976-03-17
Arsenal,-140.8,1976-03-20
Arsenal,-135.49,1976-03-27
Arsenal,-145.91,1976-03-30
Arsenal,-153.53,1976-03-31
Arsenal,-173.9,1976-04-10
Arsenal,-162.9,1976-04-14
Arsenal,-160.83,1976-04-17
Arsenal,-174.54,1976-04-19
Arsenal,-196.96,1976-04-28
Arsenal,-200.45,1976-05-05
Arsenal,-200.45,1976-05-19
