key,value,date
Arsenal,-54.69,2/5/55
Arsenal,-59.80,2/12/55
Arsenal,-47.57,3/5/55
Arsenal,-37.55,3/19/55
Arsenal,-45.35,4/2/55
Arsenal,-48.26,4/3/55
Arsenal,-36.47,4/9/55
Arsenal,-25.47,4/16/55
Arsenal,-33.14,4/23/55
Arsenal,-47.46,4/30/55
Arsenal,-46.58,5/18/55
Arsenal,-46.58,5/19/55
Arsenal,-46.58,5/23/55
Arsenal,-46.58,8/20/55
Arsenal,-42.43,8/27/55
Arsenal,-38.81,9/3/55
Arsenal,-27.86,9/10/55
Arsenal,-29.46,9/17/55
Arsenal,-39.84,9/24/55
Arsenal,-46.16,10/1/55
Arsenal,-45.35,10/5/55
Arsenal,-45.35,10/8/55
Arsenal,-48.70,10/15/55
Arsenal,-46.49,10/22/55
Arsenal,-53.68,10/23/55
Arsenal,-53.68,10/29/55
Arsenal,-71.88,11/5/55
Arsenal,-62.58,11/12/55
Arsenal,-50.34,11/19/55
Arsenal,-46.91,11/26/55
Arsenal,-59.34,12/2/55
Arsenal,-59.34,12/3/55
Arsenal,-74.62,12/10/55
Arsenal,-61.11,12/17/55
Arsenal,-53.95,12/24/55
Arsenal,-74.67,12/26/55
Arsenal,-75.97,12/27/55
Arsenal,-66.72,12/31/55
Arsenal,-78.71,1/21/56
Arsenal,-78.18,2/4/56
Arsenal,-77.16,2/11/56
Arsenal,-96.12,2/25/56
Arsenal,-111.88,3/10/56
Arsenal,-113.68,3/24/56
Arsenal,-109.38,3/31/56
Arsenal,-110.26,4/2/56
Arsenal,-97.38,4/7/56
Arsenal,-91.14,4/14/56
Arsenal,-84.43,4/15/56
Arsenal,-84.43,4/21/56
Arsenal,-85.01,5/10/56
Arsenal,-85.01,5/17/56
Arsenal,-85.01,5/21/56
Arsenal,-85.01,5/26/56
Arsenal,-85.01,8/18/56
Arsenal,-85.88,8/25/56
Arsenal,-109.72,9/1/56
Arsenal,-125.19,9/8/56
Arsenal,-126.80,9/12/56
Arsenal,-133.00,9/15/56
Arsenal,-147.01,9/22/56
Arsenal,-137.23,9/26/56
Arsenal,-142.66,9/29/56
Arsenal,-156.34,10/6/56
Arsenal,-149.30,10/13/56
Arsenal,-146.13,10/17/56
Arsenal,-143.73,10/20/56
Arsenal,-108.90,10/27/56
Arsenal,-125.16,11/3/56
Arsenal,-126.66,11/10/56
Arsenal,-121.02,11/17/56
Arsenal,-114.81,11/21/56
Arsenal,-118.73,11/24/56
Arsenal,-117.85,12/1/56
Arsenal,-126.57,12/8/56
Arsenal,-126.48,12/15/56
Arsenal,-95.67,12/26/56
Arsenal,-93.03,12/29/56
Arsenal,-91.93,1/12/57
Arsenal,-102.14,1/16/57
Arsenal,-97.99,1/19/57
Arsenal,-97.95,2/2/57
Arsenal,-101.66,2/6/57
Arsenal,-112.90,2/9/57
Arsenal,-111.70,3/9/57
Arsenal,-107.98,3/16/57
Arsenal,-82.89,3/30/57
Arsenal,-95.43,4/6/57
Arsenal,-86.29,4/11/57
Arsenal,-83.07,4/13/57
Arsenal,-98.15,4/19/57
Arsenal,-111.07,4/20/57
Arsenal,-111.72,4/22/57
Arsenal,-99.72,4/23/57
Arsenal,-97.44,8/31/57
Arsenal,-96.49,9/4/57
Arsenal,-85.57,9/7/57
Arsenal,-120.51,9/14/57
Arsenal,-84.26,9/21/57
Arsenal,-93.52,9/25/57
Arsenal,-96.98,9/28/57
Arsenal,-84.85,10/2/57
Arsenal,-78.41,10/5/57
Arsenal,-72.61,10/12/57
Arsenal,-86.07,10/19/57
Arsenal,-79.63,10/26/57
Arsenal,-70.53,11/2/57
Arsenal,-69.32,11/9/57
Arsenal,-85.53,11/16/57
Arsenal,-84.01,11/20/57
Arsenal,-87.79,11/23/57
Arsenal,-104.82,11/30/57
Arsenal,-104.40,12/4/57
Arsenal,-106.33,12/7/57
Arsenal,-109.88,12/14/57
Arsenal,-87.78,12/21/57
Arsenal,-90.51,12/26/57
Arsenal,-101.63,12/28/57
Arsenal,-113.71,1/11/58
Arsenal,-121.59,1/14/58
Arsenal,-119.58,1/18/58
Arsenal,-116.44,2/1/58
Arsenal,-130.97,2/5/58
Arsenal,-149.55,2/22/58
Arsenal,-154.38,3/8/58
Arsenal,-124.38,3/15/58
Arsenal,-101.79,3/29/58
Arsenal,-83.02,4/7/58
Arsenal,-83.10,4/12/58
Arsenal,-84.77,4/19/58
Arsenal,-99.57,4/26/58
Arsenal,-108.22,5/8/58
Arsenal,-108.22,5/14/58
Arsenal,-108.22,8/23/58
Arsenal,-78.04,8/30/58
Arsenal,-68.14,9/6/58
Arsenal,-22.04,9/13/58
Arsenal,-16.74,9/20/58
Arsenal,-13.04,9/27/58
Arsenal,-26.60,10/4/58
Arsenal,-20.30,10/11/58
Arsenal,-24.14,10/18/58
Arsenal,-23.56,10/25/58
Arsenal,-19.50,11/1/58
Arsenal,-2.78,11/8/58
Arsenal,0.00,11/12/58
Arsenal,0.00,11/15/58
Arsenal,-0.30,11/18/58
Arsenal,-0.30,11/22/58
Arsenal,0.00,11/29/58
Arsenal,0.00,12/6/58
Arsenal,0.00,12/13/58
Arsenal,0.00,12/20/58
Arsenal,-32.60,1/3/59
Arsenal,-27.07,1/31/59
Arsenal,-6.59,2/7/59
Arsenal,-22.55,2/21/59
Arsenal,-22.34,3/7/59
Arsenal,-65.30,3/28/59
Arsenal,-73.48,4/4/59
Arsenal,-75.99,4/11/59
Arsenal,-88.04,4/18/59
Arsenal,-80.38,4/25/59
Arsenal,-62.64,8/22/59
Arsenal,-68.52,8/26/59
Arsenal,-41.62,8/29/59
Arsenal,-55.94,9/5/59
Arsenal,-60.51,9/9/59
Arsenal,-58.61,9/12/59
Arsenal,-26.41,9/19/59
Arsenal,-9.75,9/26/59
Arsenal,0.00,9/30/59
Arsenal,0.00,10/3/59
Arsenal,-7.94,10/7/59
Arsenal,-7.94,10/10/59
Arsenal,-29.50,10/17/59
Arsenal,-40.50,10/24/59
Arsenal,-43.63,10/31/59
Arsenal,-42.89,11/7/59
Arsenal,-38.24,11/11/59
Arsenal,-38.24,11/14/59
Arsenal,-53.48,11/21/59
Arsenal,-44.58,11/24/59
Arsenal,-44.58,11/28/59
Arsenal,-51.37,12/5/59
Arsenal,-66.30,12/12/59
Arsenal,-91.89,12/19/59
Arsenal,-90.26,12/26/59
Arsenal,-119.13,12/28/59
Arsenal,-108.25,1/2/60
Arsenal,-92.54,1/16/60
Arsenal,-104.44,1/23/60
Arsenal,-91.20,2/10/60
Arsenal,-91.20,2/13/60
Arsenal,-78.44,2/27/60
Arsenal,-79.31,3/2/60
Arsenal,-79.31,3/5/60
Arsenal,-81.73,3/19/60
Arsenal,-77.97,4/2/60
Arsenal,-74.82,4/9/60
Arsenal,-85.53,4/16/60
Arsenal,-97.71,4/18/60
Arsenal,-111.26,4/23/60
Arsenal,-84.26,4/30/60
Arsenal,-95.66,8/20/60
Arsenal,-107.10,8/24/60
Arsenal,-123.92,9/3/60
Arsenal,-127.53,9/10/60
Arsenal,-153.08,9/17/60
Arsenal,-146.52,9/24/60
Arsenal,-158.17,10/1/60
Arsenal,-169.74,10/15/60
Arsenal,-174.23,10/22/60
Arsenal,-160.67,10/29/60
Arsenal,-161.55,11/5/60
Arsenal,-181.57,11/12/60
Arsenal,-192.13,11/16/60
Arsenal,-192.13,11/19/60
Arsenal,-195.02,11/26/60
Arsenal,-196.43,11/30/60
Arsenal,-195.94,12/10/60
Arsenal,-190.01,12/17/60
Arsenal,-208.05,12/26/60
Arsenal,-217.19,12/31/60
Arsenal,-190.22,1/18/61
Arsenal,-190.22,1/21/61
Arsenal,-195.38,2/4/61
Arsenal,-179.86,2/11/61
Arsenal,-182.95,2/25/61
Arsenal,-197.44,3/11/61
Arsenal,-189.70,3/15/61
Arsenal,-171.84,3/31/61
Arsenal,-173.01,4/1/61
Arsenal,-174.18,4/8/61
Arsenal,-186.39,4/22/61
Arsenal,-190.85,4/29/61
Arsenal,-183.78,8/19/61
Arsenal,-189.56,8/23/61
Arsenal,-170.82,8/26/61
Arsenal,-167.19,9/2/61
Arsenal,-170.16,9/9/61
Arsenal,-154.47,9/13/61
Arsenal,-151.95,9/16/61
Arsenal,-165.52,9/20/61
Arsenal,-162.25,9/23/61
Arsenal,-154.74,9/27/61
Arsenal,-154.75,9/30/61
Arsenal,-161.89,10/14/61
Arsenal,-162.02,10/16/61
Arsenal,-162.01,10/18/61
Arsenal,-162.02,10/21/61
Arsenal,-140.11,10/24/61
Arsenal,-142.85,10/25/61
Arsenal,-142.85,10/28/61
Arsenal,-147.93,11/2/61
Arsenal,-147.23,11/4/61
Arsenal,-155.67,11/8/61
Arsenal,-155.67,11/11/61
Arsenal,-158.49,11/18/61
Arsenal,-155.00,11/25/61
Arsenal,-130.14,12/2/61
Arsenal,-143.54,12/9/61
Arsenal,-152.84,12/16/61
Arsenal,-137.86,12/23/61
Arsenal,-121.77,12/26/61
Arsenal,-128.84,1/13/62
Arsenal,-137.42,1/20/62
Arsenal,-137.31,2/3/62
Arsenal,-137.69,2/10/62
Arsenal,-145.87,2/14/62
Arsenal,-145.79,2/24/62
Arsenal,-128.44,2/26/62
Arsenal,-107.40,3/17/62
Arsenal,-116.56,3/21/62
Arsenal,-114.02,3/24/62
Arsenal,-121.68,4/5/62
Arsenal,-117.50,4/7/62
Arsenal,-102.72,4/21/62
Arsenal,-88.04,4/23/62
Arsenal,-111.67,4/28/62
Arsenal,-126.30,8/18/62
Arsenal,-109.60,8/22/62
Arsenal,-109.60,8/25/62
Arsenal,-140.36,9/1/62
Arsenal,-155.76,9/8/62
Arsenal,-164.03,9/15/62
Arsenal,-153.45,9/18/62
Arsenal,-154.14,9/22/62
Arsenal,-144.53,9/25/62
Arsenal,-144.53,9/29/62
Arsenal,-161.32,10/6/62
Arsenal,-148.50,10/13/62
Arsenal,-163.20,10/27/62
Arsenal,-165.28,10/31/62
Arsenal,-172.67,11/3/62
Arsenal,-176.27,11/10/62
Arsenal,-177.21,11/14/62
Arsenal,-191.69,11/17/62
Arsenal,-194.52,11/19/62
Arsenal,-194.52,11/24/62
Arsenal,-180.35,11/28/62
Arsenal,-180.35,12/1/62
Arsenal,-163.22,12/8/62
Arsenal,-146.56,12/15/62
Arsenal,-165.10,3/2/63
Arsenal,-147.24,3/5/63
Arsenal,-142.25,3/9/63
Arsenal,-152.11,3/14/63
Arsenal,-169.71,3/23/63
Arsenal,-129.27,4/13/63
